doc_id,MB_run_HVAC_filter_type_txt,SL_run_HVAC_filter_type_txt,agree_run_HVAC_filter_type_txt,MB_wear_mask_against_txt,SL_wear_mask_against_txt,agree_wear_mask_against_txt,MB_wear_mask_other_txt,SL_wear_mask_other_txt,agree_wear_mask_other_txt,MB_outdoor_AQ_action_txt,SL_outdoor_AQ_action_txt,agree_outdoor_AQ_action_txt,MB_indoor_monitor_action_txt,SL_indoor_monitor_action_txt,agree_indoor_monitor_action_txt,MB_other_health_action_txt,SL_other_health_action_txt,agree_other_health_action_txt,MB_target_group_current_other_health_txt,SL_target_group_current_other_health_txt,agree_target_group_current_other_health_txt,MB_target_group_current_other_txt,SL_target_group_current_other_txt,agree_target_group_current_other_txt,MB_guidance_goal_protect_health_other_txt,SL_guidance_goal_protect_health_other_txt,agree_guidance_goal_protect_health_other_txt,MB_guidance_goal_other_txt,SL_guidance_goal_other_txt,agree_guidance_goal_other_txt,MB_author_additional_info_txt,SL_author_additional_info_txt,agree_author_additional_info_txt,MB_dev_process_details_txt,SL_dev_process_details_txt,agree_dev_process_details_txt,MB_language_other_txt,SL_language_other_txt,agree_language_other_txt,MB_burden_other_txt,SL_burden_other_txt,agree_burden_other_txt,MB_effectsize_HEPA_txt,SL_effectsize_HEPA_txt,agree_effectsize_HEPA_txt,MB_effectsize_DIY_txt,SL_effectsize_DIY_txt,agree_effectsize_DIY_txt,MB_effectsize_stay_indoors_txt,SL_effectsize_stay_indoors_txt,agree_effectsize_stay_indoors_txt,MB_effectsize_reduce_exercise_txt,SL_effectsize_reduce_exercise_txt,agree_effectsize_reduce_exercise_txt,MB_effectsize_mask_txt,SL_effectsize_mask_txt,agree_effectsize_mask_txt,MB_effectsize_other_action_txt,SL_effectsize_other_action_txt,agree_effectsize_other_action_txt,MB_effectsize_burden_HEPA_txt,SL_effectsize_burden_HEPA_txt,agree_effectsize_burden_HEPA_txt,MB_effectsize_burden_DIY_txt,SL_effectsize_burden_DIY_txt,agree_effectsize_burden_DIY_txt,MB_effectsize_burden_stay_indoors_txt,SL_effectsize_burden_stay_indoors_txt,agree_effectsize_burden_stay_indoors_txt,MB_effectsize_burden_reduce_exercise_txt,SL_effectsize_burden_reduce_exercise_txt,agree_effectsize_burden_reduce_exercise_txt,MB_effectsize_burden_mask_txt,SL_effectsize_burden_mask_txt,agree_effectsize_burden_mask_txt,MB_effectsize_burden_other_action_txt,SL_effectsize_burden_other_action_txt,agree_effectsize_burden_other_action_txt,MB_evidence_quality_other_action_txt,SL_evidence_quality_other_action_txt,agree_evidence_quality_other_action_txt,MB_references_scientific_publications_txt,SL_references_scientific_publications_txt,agree_references_scientific_publications_txt
vch_001,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,hydrate,NO,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES
vch_002,merv13,MERV13,YES,0,N/A,YES,0,N/A,YES,varies,varies,YES,0,N/A,YES,0,hydrate,NO,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES
vch_003,"merv13, 16+, hepa","MERV13, MERV16+, HEPA",YES,0,N/A,YES,0,N/A,YES,varies,varies,YES,0,N/A,YES,hydrate; reduce outdoor excercies,hydrate; reduce outdoor excercies,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES
vch_004,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,Wildfire Smoke Readiness Plan,Wildfire Smoke Readiness Plan,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES
vch_005,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,Wildfire Smoke Readiness Plan,wildfire smoke readiness plan,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES
vch_006,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,asthma treatment plan and rescue medications,asthma treatment plan and rescue medications,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES
vch_007,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,Follow Asthma Treatment Plans/Use Rescue Medications,asthma treatment plan and rescue medications,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES
vch_008,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,asthma treatment plan and rescue medications,asthma treatment plan and rescue medications,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES
vch_009,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,Asthma Treatment Plan & Use of Rescue Medications,"seek air conditioned spaces (e.g., mall)",NO,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES
vch_010,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,varies,varies,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,0,N/A,YES,0,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES,N/A,N/A,YES
